model,step,parameters,lambada_acc,lambada_acc_stderr,lambada_perplexity,lambada_perplexity_stderr,hellaswag_acc,hellaswag_acc_stderr,hellaswag_acc_norm,hellaswag_acc_norm_stderr
Dense,80000,124439808,0.34251892101688336,0.006611438859224889,33.03394982238103,1.319675189984398,0.2923720374427405,0.004539227260397284,0.31666998605855406,0.004642268079489096
MoFE group LR,80000,209595696,0.34523578497962354,0.006623879809039229,33.06196185914989,1.3365059851382404,0.29575781716789484,0.004554499409291194,0.31995618402708625,0.004655059308602637
Upcycling,80000,336986160,0.3423248593052591,0.006610541030712188,33.54546080529385,1.3538007078138228,0.29376618203545113,0.004545552424153696,0.3194582752439753,0.00465313836094811
Dense,100000,124439808,0.3347564525519115,0.006574562930156467,34.579029402068244,1.4008490337481205,0.29336785500896234,0.004543750480065711,0.3172674765982872,0.004644613601103934
MoFE group LR,100000,209595696,0.3366970696681545,0.006583967813636991,35.10917506618553,1.4153191728974712,0.2967536347341167,0.0045589338229953145,0.3234415455088628,0.00466833572541061
Upcycling,100000,336986160,0.3312633417426742,0.006557319238079789,35.235484352459345,1.4183837470473462,0.2954590718980283,0.004553164013379509,0.3202549292969528,0.0046562089515413685
Dense,110000,124439808,0.340966427323889,0.006604221822265858,33.78863649464143,1.3608440937646589,0.2930691097390958,0.004542396269998995,0.31557458673571004,0.004637944965914483
MoFE group LR,110000,209595696,0.3413545507471376,0.006606033459865054,34.64923772484941,1.4154438567968188,0.29715196176060543,0.004560700317927516,0.32085241983668594,0.0046585016622771955
Upcycling,110000,336986160,0.3361148845332816,0.006581159422298192,34.08808419385844,1.3755550471409614,0.29466241784505076,0.004549591490045905,0.321449910376419,0.004660785616933732
Dense,120000,124439808,0.3361148845332816,0.006581159422298192,34.6759400649358,1.4232229217005938,0.2922724556861183,0.004538773493746909,0.31686914957179846,0.004643050902503985
MoFE group LR,120000,209595696,0.33921987191927033,0.006596008439350025,33.835015222461365,1.3802960077972932,0.29575781716789484,0.004554499409291194,0.3240390360485959,0.004670581884781086
Upcycling,120000,336986160,0.33980205705414324,0.006598757339311724,34.78539986303154,1.4290652738289946,0.2945628360884286,0.004549143750428487,0.31935869348735313,0.004652753439460329
